##NAMES=Anorthite
##RRUFFID=R070598
##IDEAL CHEMISTRY=Ca(Al_2_Si_2_O_8_)
##LOCALITY=Eyscott Hill, Keswick, Cumberland, England
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Massive, greyish-green heterogenous aggregates on plagioclase matrix. Variety bytownite.
##STATUS=The identification of this mineral has been confirmed only by chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R070598
##MEASURED CHEMISTRY=Na_0.25_K_0.03_Ca_0.72_(Al_1.70_Fe^3+^_0.02_Si_2.28_)O_8_ ; light gray
##DIFFRACTION SAMPLE DESCRIPTION=Powder, with other plagioclase-series minerals
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1594.673, 1218.718
1596.602, 1224.146
1598.530, 1229.335
1600.459, 1230.081
1602.387, 1215.296
1604.316, 1206.557
1606.244, 1213.892
1608.173, 1233.283
1610.101, 1244.849
1612.030, 1242.235
1613.958, 1243.089
1615.886, 1242.866
1617.815, 1244.808
1619.743, 1257.808
1621.672, 1273.743
1623.600, 1288.191
1625.529, 1300.858
1627.457, 1311.324
1629.386, 1313.969
1631.314, 1319.605
1633.243, 1339.578
1635.171, 1357.295
1637.100, 1362.811
1639.028, 1364.509
1640.957, 1371.631
1642.885, 1382.303
1644.813, 1385.893
1646.742, 1389.757
1648.670, 1393.085
1650.599, 1389.700
1652.527, 1388.194
1654.456, 1386.941
1656.384, 1383.431
1658.313, 1379.190
1660.241, 1379.385
1662.170, 1383.427
1664.098, 1377.042
1666.027, 1368.852
1667.955, 1373.082
1669.884, 1374.892
1671.812, 1374.555
1673.740, 1389.827
1675.669, 1407.380
1677.597, 1399.965
1679.526, 1392.651
1681.454, 1403.343
1683.383, 1400.428
1685.311, 1388.364
1687.240, 1398.632
1689.168, 1412.306
1691.097, 1411.138
1693.025, 1403.341
1694.954, 1397.297
1696.882, 1395.115
1698.811, 1385.056
1700.739, 1368.990
1702.667, 1356.712
1704.596, 1350.769
1706.524, 1345.434
1708.453, 1332.388
1710.381, 1311.578
1712.310, 1287.681
1714.238, 1270.548
1716.167, 1267.123
1718.095, 1253.859
1720.024, 1225.200
1721.952, 1219.984
1723.881, 1223.274
1725.809, 1204.460
1727.738, 1195.215
1729.666, 1208.123
1731.594, 1211.262
1733.523, 1204.177
1735.451, 1196.776
1737.380, 1189.795
1739.308, 1182.246
1741.237, 1179.012
1743.165, 1199.992
1745.094, 1216.489
1747.022, 1211.677
1748.951, 1197.884
1750.879, 1184.235
1752.808, 1186.974
1754.736, 1197.369
1756.665, 1209.382
1758.593, 1214.139
1760.521, 1202.073
1762.450, 1191.277
1764.378, 1188.000
1766.307, 1182.346
1768.235, 1181.636
1770.164, 1195.168
1772.092, 1202.964
1774.021, 1196.325
1775.949, 1187.356
1777.878, 1175.280
1779.806, 1175.413
1781.735, 1184.786
1783.663, 1178.766
1785.592, 1175.083
1787.520, 1184.751
1789.448, 1185.305
1791.377, 1174.492
1793.305, 1155.160
1795.234, 1142.490
1797.162, 1141.957
1799.091, 1136.363
1801.019, 1123.001
1802.948, 1114.203
1804.876, 1110.477
1806.805, 1104.172
1808.733, 1097.241
1810.662, 1092.431
1812.590, 1091.896
1814.519, 1098.677
1816.447, 1090.597
1818.375, 1068.833
1820.304, 1052.788
1822.232, 1046.580
1824.161, 1046.055
1826.089, 1046.972
1828.018, 1051.747
1829.946, 1044.283
1831.875, 1026.098
1833.803, 1021.065
1835.732, 1022.665
1837.660, 1014.791
1839.589, 1007.334
1841.517, 1010.137
1843.446, 1004.750
1845.374, 990.2839
1847.302, 988.7571
1849.231, 987.4929
1851.159, 972.7501
1853.088, 962.8746
1855.016, 964.2522
1856.945, 960.5513
1858.873, 952.9861
1860.802, 951.5161
1862.730, 946.3521
1864.659, 933.4493
1866.587, 930.7744
1868.516, 948.0936
1870.444, 949.5742
1872.373, 932.8109
1874.301, 914.8746
1876.229, 911.1982
1878.158, 913.1027
1880.086, 912.7810
1882.015, 929.9933
1883.943, 930.9802
1885.872, 912.2217
1887.800, 898.5989
1889.729, 893.1160
1891.657, 893.7599
1893.586, 890.2676
1895.514, 878.1091
1897.443, 875.7607
1899.371, 878.0696
1901.300, 872.8075
1903.228, 871.1023
1905.156, 872.6658
1907.085, 867.2361
1909.013, 862.3525
1910.942, 864.8506
1912.870, 868.8082
1914.799, 873.2741
1916.727, 866.6138
1918.656, 855.6613
1920.584, 857.3077
1922.513, 861.8802
1924.441, 869.5913
1926.370, 867.2299
1928.298, 854.3193
1930.227, 858.5193
1932.155, 864.4279
1934.083, 856.0837
1936.012, 851.8942
1937.940, 854.8185
1939.869, 864.7267
1941.797, 871.7527
1943.726, 855.2240
1945.654, 846.1625
1947.583, 858.5519
1949.511, 861.3352
1951.440, 858.1685
1953.368, 861.9974
1955.297, 867.0621
1957.225, 872.3999
1959.154, 875.2436
1961.082, 876.9367
1963.010, 872.8224
1964.939, 862.8628
1966.867, 859.9343
1968.796, 867.4922
1970.724, 874.6981
1972.653, 870.7395
1974.581, 867.9521
1976.510, 875.9251
1978.438, 878.3370
1980.367, 873.8231
1982.295, 873.6488
1984.224, 875.2172
1986.152, 871.2222
1988.081, 867.8779
