##NAMES=Libyan Desert glass
##RRUFFID=R060357
##IDEAL CHEMISTRY=
##LOCALITY=Libyan Desert, Sahara Desert, Egypt
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Pale tan amorphous fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060357
##MEASURED CHEMISTRY=Si_1.00_O_2_
##DIFFRACTION SAMPLE DESCRIPTION=Powder, amorphous
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

1969.747, 532.6721
1971.676, 531.8344
1973.604, 530.8789
1975.533, 529.7911
1977.461, 528.5486
1979.390, 527.0201
1981.318, 524.9907
1983.247, 524.0165
1985.175, 523.4387
1987.104, 520.5527
1989.032, 517.0017
1990.960, 512.5691
1992.889, 512.2480
1994.817, 515.1909
1996.746, 513.4153
1998.674, 509.9945
2000.603, 507.0122
2002.531, 504.8701
2004.460, 503.5891
2006.388, 501.5716
2008.317, 499.0958
2010.245, 497.1215
2012.174, 494.4235
2014.102, 492.5619
2016.031, 490.5258
2017.959, 488.7202
2019.887, 486.3950
2021.816, 484.2478
2023.744, 481.5438
2025.673, 478.6744
2027.601, 475.8133
2029.530, 472.9408
2031.458, 470.8491
2033.387, 469.7751
2035.315, 468.4462
2037.244, 466.8554
2039.172, 465.0909
2041.101, 463.3737
2043.029, 461.8363
2044.958, 457.2860
2046.886, 452.0313
2048.814, 450.7252
2050.743, 450.2607
2052.671, 449.7132
2054.600, 448.1457
2056.528, 445.5396
2058.457, 443.4739
2060.385, 440.8141
2062.314, 437.7654
2064.242, 435.8266
2066.171, 433.0432
2068.099, 431.9177
2070.028, 430.0857
2071.956, 426.7787
2073.885, 423.1657
2075.813, 419.5784
2077.741, 416.0030
2079.670, 413.9322
2081.598, 411.3096
2083.527, 411.0981
2085.455, 407.5970
2087.384, 408.4901
2089.312, 407.2364
2091.241, 401.9319
2093.169, 398.7071
2095.098, 396.8802
2097.026, 395.9726
2098.955, 394.6795
2100.883, 392.7212
2102.812, 391.1198
2104.740, 388.7032
2106.668, 386.4475
2108.597, 384.4480
2110.525, 381.3711
2112.454, 379.8011
2114.382, 377.2699
2116.311, 374.2093
2118.239, 371.6031
2120.168, 369.4052
2122.096, 366.5889
2124.025, 364.2180
2125.953, 362.9010
2127.882, 360.7348
2129.810, 357.9366
2131.739, 355.6478
2133.667, 352.8863
2135.595, 349.3248
2137.524, 346.4469
2139.452, 343.4831
2141.381, 338.3627
2143.309, 334.2213
2145.238, 331.6681
2147.166, 330.2935
2149.095, 328.6736
2151.023, 324.6216
2152.952, 322.1594
2154.880, 321.0135
2156.809, 315.7144
2158.737, 311.1311
2160.666, 312.1700
2162.594, 310.7445
2164.522, 307.2708
2166.451, 303.7740
2168.379, 300.0674
2170.308, 295.9505
2172.236, 291.7685
2174.165, 288.4747
2176.093, 288.2769
2178.022, 286.1693
2179.950, 281.2186
2181.879, 278.3031
2183.807, 275.0460
2185.736, 269.2556
2187.664, 264.6643
2189.593, 261.2087
2191.521, 257.1135
2193.449, 253.9167
2195.378, 250.8401
2197.306, 249.0312
2199.235, 244.9094
2201.163, 242.0512
2203.092, 238.4960
2205.020, 235.2810
2206.949, 232.4291
2208.877, 229.3265
2210.806, 226.7485
2212.734, 224.3266
2214.663, 221.6480
2216.591, 217.1547
2218.520, 212.7709
2220.448, 209.0565
2222.376, 204.5276
2224.305, 200.7133
2226.233, 200.6515
2228.162, 198.3145
2230.090, 193.8161
2232.019, 190.1387
2233.947, 186.8311
2235.876, 183.6456
2237.804, 180.8261
2239.733, 178.3667
2241.661, 176.8219
2243.590, 173.5478
2245.518, 171.1764
2247.447, 166.8729
2249.375, 165.0802
