##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

2273.631, 486.3427
2275.559, 484.7870
2277.488, 477.1730
2279.416, 476.3126
2281.344, 484.7857
2283.273, 487.6632
2285.201, 488.9208
2287.130, 476.5650
2289.058, 469.8440
2290.987, 473.6241
2292.915, 477.0968
2294.844, 474.0986
2296.772, 462.7743
2298.701, 460.9405
2300.629, 460.3918
2302.558, 454.3155
2304.486, 453.8459
2306.415, 451.6075
2308.343, 457.4633
2310.271, 448.5803
2312.200, 433.0720
2314.128, 449.3682
2316.057, 458.4424
2317.985, 452.5837
2319.914, 439.6760
2321.842, 429.3959
2323.771, 425.0531
2325.699, 418.6377
2327.628, 415.4824
2329.556, 425.3754
2331.485, 420.9668
2333.413, 416.3075
